parcel_id_clean,key_scope,parcel_id_type,parcel_display,n_findings,volumes,recommendations,record_ids
10/94/55/G,global,lr,10/94/55/G,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2879
10/94/55/H,global,lr,10/94/55/H,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2876
10/94/55/I,global,lr,10/94/55/I,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2875
10/94/55/J,global,lr,10/94/55/J,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2882
10/94/55/K,global,lr,10/94/55/K,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2883
10/94/61,global,lr,10/94/61,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2907
10/94/65/A,global,lr,10/94/65/A,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2894
10/94/65/B,global,lr,10/94/65/B,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2895
10/94/65/C,global,lr,10/94/65/C,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2896
10/94/65/D,global,lr,10/94/65/D,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2897
10/94/65/E,global,lr,10/94/65/E,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2893
10/94/65/F,global,lr,10/94/65/F,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2891
10/94/65/G,global,lr,10/94/65/G,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2892
10/94/65/H,global,lr,10/94/65/H,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2890
10/94/65/I,global,lr,10/94/65/I,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2889
10/94/65/J,global,lr,10/94/65/J,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2888
10/94/65/K,global,lr,10/94/65/K,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2887
10/94/65/L,global,lr,10/94/65/L,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2886
10/94/65/M,global,lr,10/94/65/M,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2885
10/94/65/N,global,lr,10/94/65/N,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2884
