province,district,station,forest,legal_notice,name_of_excision,excision_area_ha,bp_no,year,purpose,request,beneficiary,status,legal_procedure,recommendation,remarks,source_page,flag_source_csv
Rift Valley,Koibatek,Maji Mazuri,Maji Mazuri,347 of 1968,,50.18,,,Maji Mazuri Trading Centre.,County Council,Landless People,Fully Occupied,,uphold the status quo.,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Koibatek,Lembus,Lembus,203 of 1988,,3935.50,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,Review to set aside catchment areas,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Laikipia,Marmanet,Marmanet,341 of 1995,,703.7,,,Settlement,Provincial Administration,Investigate Beneficiary,Not fully occupied,,Investigate beneficiaries,,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Laikipia,Marmanet,Marmanet,84 of 1998,,162.56,,,Settlement,Farmers,Investigate Beneficiary,Taken possession,,Investigate,,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Marakwet,Cherangani,Kapkanyar,161 of 1988,,4562.50,,,Settlement,Commissioner of Lands,Landless People,Fully Occupied,,Uphold but isolate Eco-Sensitive areas,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Menengai,Menengai,127 of 1977,,566.9,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo.,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,260 of 1967,,36.42,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,260 of 1967,,143.67,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo.,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,260 of 1967,,65.97,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,South Nandi,South Nandi,39 of 1968,,254.15,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,South Nandi,South Nandi,52 of 1998,,1541.7,,,Settlement,People of Nandi,Landless People,Taken possession,,uphold the status quo,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,15 of 1985,,943.2,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,Consider upholding the status quo,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,TransNzoia,Kitalale,Kitalale,292 of 1994,,189.1,,,For farming,S.K. Kipsaita,Individual,Taken possession,,Revoke,This was an excision for private gain,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Uasin Gishu,Eldoret,Eldoret,258 of 1966,,155,,,Settlement,Ministry of lands,Landless People,Fully Occupied,,uphold the status quo.,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,West Pokot,Lelan,Lelan,162 of 1988,,13785.60,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold but exclude Ecosensitive areas,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Sanao,Sanao,353 of 1995,,25,,,Kaiso Primary School,P.T.A,Local community,Taken possession,,uphold the status quo,The area is occupied,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Tarambas,Tarambas,354 of 1995,,2.72,,,Kapkokoi Primary School,P.T.A,Local community,Taken possession,,uphold the status quo,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Tarambas,Tarambas,354 of 1995,,1.4,,,Bermoi African Inland Church,A.I.C,Local community,Taken possession,,uphold the status quo,,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Tarambas,Tarambas,354 of 1995,,1.17,,,Kapkomoi African Inland Church,A.I.C.,Local community,Taken possession,,uphold the status quo.,The area is settled,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Kimojoch,Kimojoch,356 of 1995,,184,,,Sacho High School,School Board of Governors,Local community,Partially occupied,,"Uphold, but reduce area",Review the area occupied.,11,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Kimojoch,Kimojoch,356 of 1995,,7.09,,,Bakawann Primary School,,Local community,Taken possession,,uphold the status quo,The area is settled,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Kaptagat,Kaptagat,54 of 1995,,17.34,,,Settlement,Land Exchange,Local community,Taken possession EIA not done,,Revoke,This was an excision for private gain,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Uasin Gishu,Eldoret,Eldoret,84 of 1976,,0.7753,,,Land exchange,Ministry of Agriculture,Ministry of Agriculture,Fully Occupied,,uphold the status quo,The area is occupied,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Elburgon,Eastern Mau,262 of 1972,,2.6,,,Michinda H School,Ministry of Education,Ministry of Education,Fully Occupied,,uphold the status quo,The area is occupied,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Laikipia,Marmanet,Marmanet,303 of 1999,,56.87,,,Settlement/Exchange,Individual,Mr Nderitu,Taken possession,,Revoke,The exchange is not complete,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Musegem,Musegem,305 of 1995,,0.506,,,Coffee Factory,People of Mosegem,Musegem community,Fully Occupied,,uphold the status quo,The area is occupied,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Sururu,Mau Narok,245 of 1993,,25.17,,,For settlement,Motukamo Farmer's Co,Motukamo Cooperative Society,Taken possession,,Revoke,This was an excision for private gain,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Laikipia,Marmanet,Marmanet,151 of 2001,,2837.4,,,Settlement,Ministry of Lands,Not known,Partially occupied. EIA not Done,,Revoke,The area is settled but contested in court.,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Laikipia,Marmanet,Marmanet,8 of 1969,,0.92,,,Road realignment,Commissioner of Lands,Public Works,Fully Occupied,,uphold the status quo,The area is settled,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Katimok,Katimok,272 of 1979,,9.25,,,Ossen School,Ministry of Education,School,Fully Occupied,,uphold the status quo,The area is occupied,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Katimok,Katimok,301 of 1995,,3.6,,,School,Kabarbet Primary School,School,Fully Occupied,,uphold the status quo,The area is occupied,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Katimok,Pemwai,304 of 1995,,12.47,,,School,Pemwai Sec School,School,Fully Occupied,,uphold the status quo,The area is occupied,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,127 of 1968,,5.26,,,Singore Girls School,Board of Governors,School,Fully Occupied,,uphold the status quo,The area is occupied,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kencho,North Nandi,North Tinderet,82 of 1976,,4.001,,,School,Ministry of Education,School,Fully Occupied,,uphold the status quo,The area is occupied,12,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,Cegaro,N. Tinderet,430 of 1994,,33.78,,,For Sochoi Secondary School,Sochoi Sec. school,School,Taken possession,,uphold the status quo,The area is occupied.,13,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kencho,Kericho,S.W. Mau,340 of 1995,,159.5,,,Tea Research,Tea Research Foundation,Tea Research,Partially occupied,,uphold the status quo.,The area is occupied; but an area of approximately 45.0 Ha is not developed.,13,annex_01_forest_excisions_with_legal_notices.csv
Western,Kakamega,Kakamega,Kakamega,272 of 1986,,3984.90,,,National Reserve,Ministry of Tourism,Department of Wildlife,Taken possession,,uphold the status quo.,National Reserve,13,annex_01_forest_excisions_with_legal_notices.csv
Western,Kakamega,Kakamega,Kisere,272 of 1986,,484.9,,,Kakamega National Reserve,Ministry of Tourism,Department of Wildlife,Taken possession,,uphold the status quo,National Reserve.,13,annex_01_forest_excisions_with_legal_notices.csv
Western,Busia,Wanga,Wanga,378 of 1991,,2,,,For farming,Late Mr. Okondo,Individual,Fully Occupied,,Revoke,This was an excision for private gain,13,annex_01_forest_excisions_with_legal_notices.csv
Western,Lugari,Turbo,Turbo,227 of 1972,,4.6,,,Railway realignment,Kenya Railways,Kenya Railways,Fully Occupied,,uphold the status quo,The area is occupied.,13,annex_01_forest_excisions_with_legal_notices.csv
Western,Bungoma,Kaberua,Mount Elgon,51 of 1974,,3.686,,,Settlement of Elgonyi,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled.,13,annex_01_forest_excisions_with_legal_notices.csv
Western,Kakamega,Kakamega,Malaba,153 of 1977,,4.396,,,School,Ministry of Education,School,Fully Occupied,,uphold the status quo,The area is occupied.,13,annex_01_forest_excisions_with_legal_notices.csv
,,,,,,141703.8,,,,,,,,,Total,13,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Nyeri,Nyeri,,Nyeri Satellite Town,432.0,Not available,1999,Town development,,Unknown,Not occupied,Illegal,Revoke,Maintain as forest,14,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Uplands,Kikuyu Escarp,,Extension of Nyambari trading centre,8.1,Not available,1993,Private development,,Onesmus Ngunjiri (Former KANU Chairman -Nakuru),Not occupied,Illegal,Revoke,Maintain as forest,14,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Ragia,Kikuyu Escarp,,Mr Buddy Gichure,4.5,Not available,1993,Farm extension,,Buddy Gichure,Occupied,Illegal,Revoke,Maintain as forest,14,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Kiambu,Kamiti,,Kamiti Settlement,169.57,Not available,1994,Settlement of squatters,,Persons displaced by clashes,Partially occupied,Illegal,Revoke,Maintain as forest,14,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Kinale,Kikuyu Escar,,Soko Mjinga Settlement,20,Not available,1994,Establishment of a market,,Kiambu County Council,Not occupied,Illegal,Revoke,Maintain as forest.,14,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Kinale,Kikuyu Escar,,Kijabe Girls Secondary School,21.41,Not available,1996,Expand school,,Local community,Occupied,Illegal,Legalise allocation,,14,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyandarua,Ndaragwa,Aberdare,,Ndaragwa Township,110.3,175/325,1991,Extension of Ndaragwa Town,,Nyandarua County Council,Occupied,Illegal,Revoke,,14,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyeri,Nyeri,Nyeri,,Nyeri ASK show ground,49.5,Not available,1993,ASK showground,,Nyeri ASK,Partially and temporary occupied,Illegal,Revoke,The ASK to relocate to the previous Show Ground at Ruring'u,14,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Kerita,Kikuyu Escarp,,Lari Trading Centre,9.40,Not available,1988,Expansion of town,,Local community,,Illegal,Revoke,Whole area is built into a Town. The beneficiaries should be made to pay for their plots at the present market rates.,15,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyandarua,South Kinangop,Magumo North,,Magumu North,241.5,Not available,1989,Settlement of the landless,,Landless,Fully occupied,Illegal,Legalise and exclude ecologically sensitive areas,Whole area is settled,15,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyandarua,South Kinangop,Magumo South,,Magumu South,368.9,Not available,1989,Settlement of the landless,,Landless,Fully occupied,Illegal,Legalise and exclude ecologically sensitive areas,Whole area is settled.,15,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Kinale,Kikuyu Escarp,,Extension of Kinale excision,182,Not available,1990,Settlement,,Undeserving cases,Occupied,Illegal,Revoke,Area is being cultivated by people who are staying elsewhere after extending the legally agreed excision,15,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Uplands,Nyamweru,,Githogoyo Primary School,3.00,Not available,1987,Establishment of a school,,Local community,Occupied,Illegal,Legalise excision.,This is a Public School.,15,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Uplands,Kikuyu Escarp,,Raini Nyeke Primary School,3.00,Not available,1987,Establishment of a school,,Kiambu County Council,,Illegal,Legalise excision,This is a Public School,15,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyandarua,Geta,Aberdare,,Karima Girls Sec. School,13.60,Not available,1985,Extension of Karima Girls Sec. School,,Karima Girls Sec School,Occupied,Illegal,Legalise excision,This is a Public School Issue a renewable license.,16,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Kiambu,Kiambu,,Kiambu Women Group,39.82,Not available,1984,Women group Projects,,Kiambu Women Group,Vacant,Illegal,Revoke,Maintain as forest,16,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Kiambu,Kiambu,,Tugirane Project,24.00,Not available,1984,Horticultural Farming,,Hon Kuria Kanyingi,Partially occupied,Illegal,Revoke,A Title deed was issued to Kama Agencies for an area covering 15.62 hectares and registered as L R No.21350 /1 in 1995. Revoke.,16,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyeri,Nyeri,Nyeri Hills.,,Nyeri Hills Microwave station,0.40,Not available,1976,Transmission,,Telecomm and KBC,Occupied,Illegal,Legalise excision,Transmitting Mast is built.,16,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyandarua,Geta,Aberdares.,,Geta/Bush Settlement,650.00,Not available,1968,Settlement Scheme,,Landless People,Occupied,Illegal,Legalise and exclude ecologically sensitive areas.,Settlement Scheme established since 1968.,16,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyandarua,Geta,Aberdares.,,Mekaro Settlement Scheme,"3,690.00",Not available,1967,Settlement Scheme,,Landless People,Occupied,Illegal,Legalise and exclude ecologically sensitive areas.,Settlement Scheme established since 1967,16,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Ragia,Kikuyu Escarp,,Ragia Settlement Scheme,"1,795.00",Not available,1965,Settle the landless,,Landless People,Occupied,Illegal,Legalise and exclude ecological sensitive areas,Settlement Scheme established since 1965,16,annex_02_forest _excisions _1962 _to_ date.csv
Eastern,Meru Central,Meru,Upper Imenti,,Meru ASK showground,40.47,175/347,1994,Relocation of Meru ASK showground.,,Meru ASK,Partially occupied,Illegal,Revoke,The Showground should be relocated to Kinoru Stadium,17,annex_02_forest _excisions _1962 _to_ date.csv
Eastern,Meru Central,Meru,Upper Imenti,,Methodist University,40.47,180/288,1997,University,,Methodist Church,Partially occupied,Illegal,Legalise excision,,17,annex_02_forest _excisions _1962 _to_ date.csv
Eastern,Meru Central,Ontulili,Mount Kenya,,Ontulili Secondary School,16.00,Not available,1998,Construction of Secondary School,,Ontulili Secondary School,Occupied,Illegal,Legalise excision,This is a Public School,17,annex_02_forest _excisions _1962 _to_ date.csv
Eastern,Meru North,Nyambene,Nyambene,,Extension of Kambene Primary School,10.00,Not available,1996,"A school, church and a dispensary.",,"School, church and a dispensary.",Not occupied,Illegal,Revoke and maintain as forest,No development Has taken place,17,annex_02_forest _excisions _1962 _to_ date.csv
Eastern,Meru Central,Meru,Upper Imenti,,Meru Technical School,7.64,175/345,1977,Technical School,,Meru Technical School,Occupied,Illegal,Legalise excision,,17,annex_02_forest _excisions _1962 _to_ date.csv
Eastern,Machakos,Iveti,Iveti,,Masaku County Council Exchange,14.25,Not available,1971,Exchanging 17.5 ha under Masaku County Council,,Masaku County Council,Occupied,Illegal,Legalise exchange,,17,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong Road.,,Ankhan Holding.,6.03,Not available,2000,Private development,,Hoseah Kiplagat,Not occupied,Illegal,Revoke,Sold to NSSF,17,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong Road,,Nairobi Chapel,6.5,Not available,2000,Private development,,Private Developers,Partially occupied,Illegal,Revoke,Maintain as forest,17,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Mr. Johnson Githii Karanja,0.3774,Not available,1999,Private development,,Initially allocated to Hezekiah Kogo Karanja.,Occupied,Illegal,Revoke,Area is developed,17,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Baptist Convention,0.81,175/333,1991,Private development,,Baptist Church,Not occupied,Illegal,Revoke,Area is not developed,18,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong Road,,Nairobi ASK Show,7.51,Not available,1992,Expansion of ASK Show ground,,ASK,Partially occupied,Illegal,Revoke,Area is not developed. ASK are using this area as a motor bike-racing course. Revoke.,18,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong Road,,Mounted police,5.30,Not available,1992,Mounted police training unit,,Private Developers,Partially occupied,Illegal,Revoke,Area was partitioned into L. R. Nos 254421-25448 Construction of Residential houses is going on. Revoke Title,18,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong Road,,Private Development,2.03,Not available.,1992,Residential houses,,Private Developers,Partially occupied,Illegal,Revoke,Area is not developed,18,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong Road,,Nairobi ASK Show,18.00,Not available,1993,Expansion of ASK,,Nairobi ASK,Partially occupied,Illegal,Revoke,Area not developed,18,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,"S. Kiruki, Lt. Gen. H. Njoroge & others",16.00,175/343,1994,Private development,,"Shadrack, Kiruki, Lt. Gen. H. Njoroge & others",Not occupied,Illegal,Revoke,Area not developed. Lt. Gen. Njoroge returned title.,18,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Pelican Engineering & Construction Co. Ltd.,18.41,175/342,1994,Private development,,"June Moi, Pelican Engineering & Construction Co. Ltd.",Sold to NSSF,,Revoke,Area not developed.,18,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Sardul Singh Virdi & Gurshran Kaur Virdi,0.87,Not available,1994,Private development,,Sardul Singh Virdi & Gurshran Kaur Virdi,Not occupied,Illegal,Revoke,Area is Registered as L.R.No.17942. It has been Sold to Peter Kamau. Area is not developed,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong,,Mugumoini PCEA Church,2.47,175/338,1995,Expansion of the church,,PCEA Dagoretti Parish & Others,Not occupied,Illegal,Revoke,Area not developed.,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,N.S.I.S Special School.,20.33,Not available,1997,Construction of School,,National Security Intelligence Service,Occupied,Illegal,Legalise excision,N.S.I.S. HQS. Built.,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Mr. Julius Waweru Mungai,0.1899,Not available,1996,Private development,,Initially allocated to Hezekiah Kogo Karanja in 1992.,Occupied,Illegal,Revoke,The area is Developed.,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Farmwell Promotions Ltd.,0.1887,Not available,1993,Private development,,Initially allocated to Hezekiah Kogo Karanja in 1992.,,Illegal,Revoke,The area is not developed.,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Mr. Samson Muriithi Nduhiu,0.2179,Not available.,1992,Private development,,Allocated in 1992,Occupied,Illegal,Revoke,The area is Developed.,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong,,Ngong road motel and Supermarket,8.8,Not available,1997,Private development,,Private Developers,Not occupied,Illegal,Revoke,The area is not developed.,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong,,Ngong road hospital,8.55,175/361 175/362,1997,Private development,,Private Developers,Not occupied,Illegal,Revoke,The area is not developed.,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Agha Khan Cemetery,8.00,Not available,1998,Cemetery,,Aghakan Community,Not occupied,Illegal,Revoke,The area is not developed. A proposal was made.,19,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,ICRAF,8.10,175/294,1989,iCRAF Hqs,,"ICRAF, Private developers.",3.0 ha occupied by ICRAF. 5.1ha given to individuals not occupied.,Illegal,Legalise excision for ICRAF and revoke the 5.1 ha allocated to individuals and now for a hotel construction.,3.00 hectares allocated to ICRAF is developed while the rest of 5.10 hectares is not developed.,20,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,Hon. J.J. Kamotho,2.67,175/293,1989,Private development,,Hon. J.J Kamotho,Not occupied,Illegal,Revoke,Area not developed.,20,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong,,St. Francis Church,2.50,Not available,1989,School establishment,,St. Francis ACK Church.,Not occupied,Illegal,Revoke,Area not developed.,20,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong,,Kenya Broadcasting Corporation,40.47,175/332,1988,Construction of KBC headquarters,,40 47 ha surveyed for KBC.,Not occupied,Illegal,Revoke allocations to K.C.B. and any subsequent allottees,Area not developed,20,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong,,Nairobi Women Prison Extension,8.80,Not available,1985,Expansion of Lang'ata women prison,,"Some of the land transferred to private developers. eg Mr. Marimoi, former MP.",Occupied,Illegal,Legalise excision for Prisons and revoke all others,Prison Dept. has developed a quarter of the area while the rest was allocated to Private Developers who have built the area.,20,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong,,Prisons industrial centre,15.09,175/274,1985,Exchange forest land,,Land transferred to private developers.,Occupied,Illegal,Revoke,This area was allocated to individuals who then transferred the land to among others: Catholic Church and Kenya Medical Resuscitation Centre. A big part of the area is developed.,20,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Ngong,Ngong Road,,Ngong Forest primary School,3.83,Not available,1982,School development,,Nairobi City Council,Occupied,Illegal,Revoke,The School is located in Ngong Road Forest and it was intended to cater for the children of forest Workers. The additional requested area is not developed. The School does not require more land.,21,annex_02_forest _excisions _1962 _to_ date.csv
Nairobi,Nairobi,Karura,Karura,,C R.D.O's Tumaini School,26.25,175/228,1980,School,,Tumaini School,Not occupied,Illegal,Revoke,The area is not developed.,21,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Laikipia,Marmanet,Marmanet,,Uaso Narok,14.16,Not available,2000,Exchange with 12.57 neighbouring Lariak forest,,F N Macharia and Forest Department,Settled,Illegal,Review,The Transfer is not finalized. Macharia was allocated 14.16 hectares in Uaso Narok Sett. Scheme.,21,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Uasin Gishu,Cengalo,N. Tinderet.,,N. Tinderet,2,Not available,2000,School Development,,Olenguse community,Not occupied,Illegal,Revoke,The area is not developed,22,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Koibatek,Lembus,Lembus.,,Lembus,505.2,Not available,1999,Construction of public institutions.,,Unknown,Occupied,Illegal,Revoke,Many Institutions and public amenities established in the forest without authority.,22,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Marakwet,Cheptongei,Kapchemutwa.,,Chebiemit Extension,12.14,Not available,1999,Extension of Divisional Hqs,,Marakwet County Council,Area Planned.,Illegal,Revoke,A portion of the area is built.,22,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,South Nandi,South Nandi,,Kobujoi Catholic Girls sec. School,20.23,Not available,1999,School development,,Local community,Not occupied,Illegal,Legalise school excision and revoke extra land,16.00 hectares surveyed for Fr.Myer's School. The girls School is already established. Issue a renewable license.,22,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,South Nandi,South Nandi,,Kobujoi,23.66,180/240,1999,Settlement of people displaced by Kaptkolei Sec. School,,S. K. Cheramboss,Not occupied,Illegal,Revoke,Area not Settled,22,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,South Nandi,South Nandi,,Chepkumai/ Ngerek land exchange,1170.0,Not available,1999,Exchange 989.17 ha with farmers on hilly terrain,,"Sally Kosgei, Henry Kosgey, Zakayo Cheruiyot and others",Not occupied,Illegal,Revoke,There is conflict in the ex-change as Ngerek Communiyt was left out.,22,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Bomet,Chepalungu,Chepalungu,,Chepalungu,6.071,180/231,1992,School development,,Chelelach Primary School,School established,Illegal,Legalise excision.,Only about 3.00 ha. Is utilized.,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Bomet,Chepalungu,Chepalungu,,Siongroi Girls Sec School,7.956,180/233,1994,School development,,Siongroi Girls school,School established,Illegal,Legalise excision.,The School has added it self another 8 hectares,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Bomet,Chepalungu/ Olenguruone,"S.W, Mau",,Bomet County Council,102.179,175/344,1994,Tea development,,Bomet County Council,Tea established,Illegal,Revoke,,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Bomet,Chepalungu,Chepalungu,,Bomet County Council,64.75,180/232,1995,Expansion of Market and a Church,,Siongroi Market and a Church,Partly established,Illegal,Revoke,The area is Partially,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kapenguria,West Pokot,Lelan,,Lelan,601.5,Not available,1995,Settle landless people,,Landless People,Partially Settled,Illegal,Legalise the settlement,Area is settled,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Kaptagat,Kaptagat.,,Kaptagat /Kipturos,44.796,Not available,1990,Exchange with 44.796 neighbouring Tapendo block,,Tapendo farmers/ Forest Department,Occupied,Illegal,Investigate,,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa.,,Chebara A,34,Not available,1992,Expansion of Chebara market,,Keiyo County council,Occupied,Illegal,Investigate,A shopping centre is built.,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Kapchoroa,Kapchemutwa,,Kapchoroa,148,Not available,1993,Settlement,,Landless People,Not occupied,Legalise,Revoke,Area is settled.,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Kaptagat,Kaptagat,,Kaptagat,58.27,Not available,1994,Relocation of sawmill,,Kaptagat sawmill,Not occupied,Illegal,Revoke,Exchange has not been consummated,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Kipkabus,Kipkabus,,Kibonge (Tingwa),475,Not available,1995,Exchange with 94.88 neighbouring Tingua Forest Reserve,,Tingwa people/Forest Department,Occupied,Illegal,Revoke,The beneficiaries Have not surrendered their Title deeds to the Forest Department,24,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Trans Nzoia,Kitale,Kitale Township,,Kitale Municipal Expansion,92.27,Not available,1999,Various development programmes.,,Kitale Municipal council,Area not occupied.,Illegal,Revoke,The area is not developed,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Trans Nzoia,Kapolet,Kapolet,,Sengwer,513.76,Not available,1999,Settlement of squatters who had invaded ADC Mitimani Farm.,,Area is a critical catchment for river Nzoia. Undeserving people given.,Area occupied illegally.,Illegal,Revoke,The area is settled. Review with a view to exclude ecologically sensitive areas.,23,annex_02_forest _excisions _1962 _to_ date.csv
